"","gene","CTX-M-CRE1","CTX-M-CRE2","CTX-M-CRE3","CTX-M-DSVA1","CTX-M-DSVA2","CTX-M-DSVA3","CTX-M-DSVA4","baseMean","log2FC","log2FCunshrunk","pvalue","padj"
"1","0610005C13Rik",0.83,2,0.72,1.5,0.9,1.11,2.19,1.3,0.01,0.29,0.84904,NA
"2","0610006L08Rik",0,0,0,0,1.79,0,0,0.3,0.01,1.75,0.64603,NA
"3","0610009B22Rik",307.49,294.18,462.26,558.08,532.03,440.32,458.64,436.1,0.34,0.48,0.01688,0.08562
"4","0610009E02Rik",11.57,14.01,22.18,40.51,24.22,42.36,20.85,25.1,0.35,0.98,0.03191,0.12807
"5","0610009L18Rik",37.2,32.02,48.66,55.51,61.91,41.25,60.35,48.1,0.23,0.47,0.1364,0.32366
"6","0610010F05Rik",1008.45,832.51,1381.76,1411.7,1408.58,1218.41,1322.16,1226.2,0.23,0.32,0.08663,0.24263
"7","0610010K14Rik",8.27,12.01,15.03,21,30.5,22.29,20.85,18.6,0.34,1.01,0.03305,0.13095
"8","0610012D04Rik",0,0,0.72,0,0,0,0,0.1,0,-0.53,0.88961,NA
"9","0610012G03Rik",672.85,1015.62,689.09,847.62,932.17,688.91,785.62,804.6,0.03,0.04,0.83826,0.91815
"10","0610025J13Rik",0,1,0,7.5,0.9,0,0,1.3,0.06,2.75,0.23408,NA
"11","0610030E20Rik",209.96,171.1,297.68,345.05,309.53,315.47,328.07,282.4,0.36,0.51,0.01435,0.07713
"12","0610031O16Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"13","0610033M10Rik",0,0,0,0,2.69,0,1.1,0.5,0.03,2.65,0.40189,NA
"14","0610038B21Rik",3.31,1,7.87,0,8.97,6.69,7.68,5.1,0.05,0.53,0.60827,NA
"15","0610039K10Rik",0.83,1,0.72,0,0.9,1.11,1.1,0.8,0,-0.06,0.97352,NA
"16","0610040B10Rik",26.45,56.03,60.11,91.51,75.36,60.2,72.42,63.2,0.31,0.65,0.05058,0.17269
"17","0610040F04Rik",10.75,12.01,12.16,16.5,15.25,17.84,9.88,13.5,0.09,0.35,0.50405,0.69872
"18","0610040J01Rik",223.18,358.22,206.08,255.04,241.34,278.69,262.24,260.7,-0.01,-0.01,0.95026,0.97735
"19","0610043K17Rik",1.65,0,2.15,3,3.59,1.11,5.49,2.4,0.08,1.33,0.30957,NA
"20","0710001A04Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"21","1010001B22Rik",4.96,8,12.16,10.5,3.59,11.15,5.49,8,-0.03,-0.16,0.82508,0.91152
"22","1100001I12Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"23","1110002E22Rik",99.19,51.03,50.09,106.52,87.92,124.85,84.49,86.3,0.3,0.59,0.05619,0.18504
"24","1110002J07Rik",23.97,37.02,7.87,37.51,33.2,34.56,41.69,30.8,0.22,0.7,0.1395,0.32862
"25","1110002L01Rik",248.81,227.14,334.17,516.07,383.1,372.32,373.06,350.7,0.43,0.6,0.00333,0.0296
"26","1110002O04Rik",3.31,2,5.72,1.5,3.59,16.72,6.58,5.6,0.1,0.94,0.32482,NA
"27","1110003F10Rik",2.48,0,10.73,4.5,3.59,7.8,6.58,5.1,0.03,0.31,0.76349,NA
"28","1110004F10Rik",1670.56,1791.1,2278.36,2545.87,2286.03,2102.4,1773.12,2063.9,0.14,0.19,0.28892,0.51208
"29","1110006O24Rik",9.09,13.01,7.87,10.5,12.56,8.92,18.65,11.5,0.08,0.36,0.53422,0.72293
"30","1110008E08Rik",0,0,0,1.5,0,0,0,0.2,0.01,1.15,0.76253,NA
"31","1110008P14Rik",3074.12,5742.52,3622.91,3960.57,3931.46,3558.25,3686.69,3939.5,-0.09,-0.13,0.51949,0.71131
"32","1110012L19Rik",229.79,244.15,271.92,303.04,335.55,278.69,235.9,271.3,0.15,0.21,0.24866,0.46878
"33","1110013H19Rik",2.48,14.01,12.88,3,5.38,11.15,18.65,9.7,0,-0.02,0.97865,0.99042
"34","1110015O18Rik",18.19,33.02,50.09,37.51,64.6,28.98,46.08,39.8,0.14,0.39,0.35379,0.57552
"35","1110017D15Rik",22.32,30.02,34.35,33,38.58,33.44,38.4,32.9,0.14,0.31,0.37285,0.59192
"36","1110018N20Rik",87.62,113.07,224.69,300.04,192.89,209.57,231.52,194.2,0.38,0.71,0.02038,0.09609
"37","1110019B22Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"38","1110019D14Rik",32.24,59.04,59.39,73.51,58.32,52.39,62.54,56.8,0.14,0.29,0.35499,0.57644
"39","1110020A21Rik",16.53,14.01,20.04,15,17.05,24.52,32.92,20,0.13,0.41,0.38494,0.60207
"40","1110025L11Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41","1110025M09Rik",12.4,12.01,14.31,10.5,11.66,18.95,4.39,12,-0.04,-0.18,0.76071,0.87308
"42","1110028F11Rik",0,0,1.43,0,0,0,0,0.2,-0.01,-1.24,0.74444,NA
