"","gene","CTX-M-DSVA1","CTX-M-DSVA2","CTX-M-DSVA3","CTX-M-DSVA4","CTX-M-XDP1","CTX-M-XDP2","CTX-M-XDP3"
"1","0610005C13Rik",1.57,0.94,1.17,2.3,0,0.7,0
"2","0610006L08Rik",0,1.89,0,0,0,0.7,0
"3","0610009B22Rik",584.52,559.36,462,480.9,287.85,332.64,337.24
"4","0610009E02Rik",42.42,25.47,44.45,21.86,10.1,21.05,10.72
"5","0610009L18Rik",58.14,65.09,43.28,63.28,21.04,28.07,21.44
"6","0610010F05Rik",1478.57,1480.93,1278.4,1386.32,1317.22,1370.55,1238.48
"7","0610010K14Rik",22,32.07,23.39,21.86,7.58,11.93,14.02
"8","0610012D04Rik",0,0,0,0,0,0,0
"9","0610012G03Rik",887.77,980.06,722.83,823.74,762.56,617.55,759.41
"10","0610025J13Rik",7.86,0.94,0,0,0.84,0,2.47
"11","0610030E20Rik",361.39,325.43,331,343.99,170.02,236.5,176.45
"12","0610031O16Rik",0,0,0,0,0.84,0,0
"13","0610033M10Rik",0,2.83,0,1.15,2.53,0,0.82
"14","0610038B21Rik",0,9.43,7.02,8.05,5.89,2.11,9.07
"15","0610039K10Rik",0,0.94,1.17,1.15,0,1.4,0
"16","0610040B10Rik",95.85,79.23,63.16,75.93,42.93,25.26,49.47
"17","0610040F04Rik",17.28,16.04,18.71,10.35,20.2,10.53,11.54
"18","0610040J01Rik",267.12,253.74,292.41,274.96,282.8,296.85,268.8
"19","0610043K17Rik",3.14,3.77,1.17,5.75,2.53,2.81,1.65
"20","0710001A04Rik",0,0,0,0,0,0,0
"21","1010001B22Rik",11,3.77,11.7,5.75,4.21,5.61,17.32
"22","1100001I12Rik",0,0,0,0,0,0,0
"23","1110002E22Rik",111.56,92.44,131,88.59,173.39,143.16,225.1
"24","1110002J07Rik",39.28,34.9,36.26,43.72,16.83,31.58,13.19
"25","1110002L01Rik",540.52,402.78,390.65,391.16,276.91,266.67,259.73
"26","1110002O04Rik",1.57,3.77,17.54,6.9,1.68,4.21,2.47
"27","1110003F10Rik",4.71,3.77,8.19,6.9,0,0.7,0
"28","1110004F10Rik",2666.46,2403.45,2205.91,1859.17,2187.51,2049.86,2051.49
"29","1110006O24Rik",11,13.21,9.36,19.56,12.63,7.72,20.61
"30","1110008E08Rik",1.57,0,0,0,0,0,0
"31","1110008P14Rik",4148.17,4133.41,3733.45,3865.6,3553.55,3171.98,3715.44
"32","1110012L19Rik",317.4,352.78,292.41,247.35,298.79,249.13,283.65
"33","1110013H19Rik",3.14,5.66,11.7,19.56,15.15,14.04,7.42
"34","1110015O18Rik",39.28,67.92,30.41,48.32,26.93,14.04,20.61
"35","1110017D15Rik",34.57,40.56,35.09,40.27,25.25,77.19,47.82
"36","1110018N20Rik",314.26,202.8,219.89,242.75,180.12,152.28,128.63
"37","1110019B22Rik",0,0,0,0,0,0,0
"38","1110019D14Rik",76.99,61.31,54.97,65.58,29.46,40,41.23
"39","1110020A21Rik",15.71,17.92,25.73,34.51,4.21,14.74,9.07
"40","1110025L11Rik",0,0,0,0,0,0,0
"41","1110025M09Rik",11,12.26,19.88,4.6,15.99,10.53,9.07
"42","1110028F11Rik",0,0,0,0,0,0,0
"43","1110028F18Rik",0,0,0,0,0,0,0
"44","1110032A03Rik",949.05,881.01,843.3,900.82,1009.17,750.89,840.22
"45","1110032F04Rik",551.52,509.37,419.9,439.48,384.65,432.29,447.73
"46","1110035H17Rik",1.57,1.89,2.34,3.45,4.21,0.7,0
"47","1110038B12Rik",281.26,258.46,223.4,288.77,93.43,129.12,119.56
"48","1110038F14Rik",336.25,293.36,274.86,268.06,259.24,212.64,231.7
"49","1110046J04Rik",172.84,128.28,109.94,131.15,51.34,61.76,70.91
"50","1110051M20Rik",1338.73,1374.34,1171.96,1148.17,1582.35,1375.46,1494.09
"51","1110057P08Rik",0,0,0,0,0,0,0
"52","1110059E24Rik",853.2,794.23,687.74,739.76,364.45,369.13,390.84
"53","1110059G10Rik",535.81,501.82,418.73,411.87,276.91,256.85,272.93
"54","1110060G06Rik",0,0.94,2.34,1.15,2.53,0,0
"55","1110065P20Rik",1473.86,1229.08,1026.93,1209.15,750.77,660.36,789.92
"56","1190001M18Rik",0,0,0,0,0,0,1.65
"57","1190005I06Rik",25.14,25.47,17.54,23.01,25.25,14.04,13.19
"58","1190007I07Rik",193.27,160.36,154.39,172.57,81.64,100.35,95.65
"59","1190028D05Rik",0,0,0,0,0,0,0
"60","1200007C13Rik",0,0,0,0,0,0,0
"61","1300002E11Rik",155.56,119.8,122.81,124.25,61.44,88.42,82.46
"62","1300014J16Rik",1.57,10.38,5.85,1.15,0,0,0.82
"63","1300017J02Rik",4.71,1.89,0,1.15,0.84,1.4,0.82
